"Reference" "Updated" "TotalStatesRef" "TotalStatesUpdt" "TotalTransitionsRef" "TotalTransitionsUpdt" "TotalFeaturesRef" "TotalFeaturesUpdt" "CommonFeatures" "RatioFeatures" "RatioStates" "RatioTransitions" "StatesFFSM" "TransitionsFFSM" "Precision" "Recall" "F.measure" "SPL" "Twise" "Index"
"68" "ffsm_9_kiss.txt" "fsm_vm_1.txt" 14 8 201 64 -1 -1 -1 -1 0.636363636363636 0.758490566037736 14 201 1 0.318408 0.483019 "vm" "all" 10
"69" "ffsm_10_kiss.txt" "fsm_vm_13.txt" 14 11 201 121 -1 -1 -1 -1 0.56 0.624223602484472 14 201 1 0.60199 0.751553 "vm" "all" 11
"70" "ffsm_11_kiss.txt" "fsm_vm_7.txt" 14 9 201 81 -1 -1 -1 -1 0.608695652173913 0.712765957446808 14 201 1 0.402985 0.574468 "vm" "all" 12
"71" "ffsm_12_kiss.txt" "fsm_vm_4.txt" 14 8 201 64 -1 -1 -1 -1 0.636363636363636 0.758490566037736 14 201 1 0.318408 0.483019 "vm" "all" 13
"72" "ffsm_13_kiss.txt" "fsm_vm_15.txt" 14 12 201 132 -1 -1 -1 -1 0.538461538461538 0.606606606606607 14 202 0.992424 0.651741 0.786787 "vm" "all" 14
"73" "ffsm_14_kiss.txt" "fsm_vm_20.txt" 14 14 202 182 -1 -1 -1 -1 0.5 0.526041666666667 14 202 1 0.90099 0.947917 "vm" "all" 15
"74" "ffsm_15_kiss.txt" "fsm_vm_14.txt" 14 11 202 121 -1 -1 -1 -1 0.56 0.625386996904025 14 202 1 0.59901 0.749226 "vm" "all" 16
"75" "ffsm_16_kiss.txt" "fsm_vm_16.txt" 14 12 202 132 -1 -1 -1 -1 0.538461538461538 0.604790419161677 14 202 1 0.653465 0.790419 "vm" "all" 17
"76" "ffsm_17_kiss.txt" "fsm_vm_6.txt" 14 10 202 100 -1 -1 -1 -1 0.583333333333333 0.66887417218543 14 202 1 0.49505 0.662252 "vm" "all" 18
"77" "ffsm_18_kiss.txt" "fsm_vm_2.txt" 14 8 202 64 -1 -1 -1 -1 0.636363636363636 0.759398496240602 14 202 1 0.316832 0.481203 "vm" "all" 19
"78" "fsm_ws_1.txt" "fsm_ws_8.txt" 5 11 40 88 8 8 3 0.230769230769231 0.6875 0.75 11 96 0.363636 0.8 0.5 "ws" "1wise" 1
"79" "fsm_ws_1.txt" "fsm_ws_2.txt" 5 8 40 64 8 8 6 0.6 0.615384615384615 0.673076923076923 8 70 0.53125 0.85 0.653846 "ws" "2wise" 1
"80" "ffsm_1_kiss.txt" "fsm_ws_5.txt" 8 7 70 56 -1 -1 -1 -1 0.666666666666667 0.698412698412698 10 88 0.690909 0.542857 0.608 "ws" "2wise" 2
"81" "ffsm_2_kiss.txt" "fsm_ws_8.txt" 10 11 88 88 -1 -1 -1 -1 0.523809523809524 0.573863636363636 11 101 0.892857 0.852273 0.872093 "ws" "2wise" 3
"82" "ffsm_3_kiss.txt" "fsm_ws_4.txt" 11 5 101 40 -1 -1 -1 -1 0.6875 0.716312056737589 11 101 1 0.39604 0.567376 "ws" "2wise" 4
"83" "fsm_ws_3.txt" "fsm_ws_8.txt" 8 11 64 88 8 8 7 0.777777777777778 0.578947368421053 0.598684210526316 11 91 0.772152 0.953125 0.853147 "ws" "3wise" 1
"84" "ffsm_1_kiss.txt" "fsm_ws_2.txt" 11 8 91 64 -1 -1 -1 -1 0.578947368421053 0.6 11 93 0.96875 0.681319 0.8 "ws" "3wise" 2
"85" "ffsm_2_kiss.txt" "fsm_ws_1.txt" 11 5 93 40 -1 -1 -1 -1 0.6875 0.736842105263158 11 98 0.875 0.376344 0.526316 "ws" "3wise" 3
"86" "ffsm_3_kiss.txt" "fsm_ws_7.txt" 11 7 98 56 -1 -1 -1 -1 0.611111111111111 0.649350649350649 11 100 0.964286 0.55102 0.701299 "ws" "3wise" 4
"87" "ffsm_4_kiss.txt" "fsm_ws_5.txt" 11 7 100 56 -1 -1 -1 -1 0.611111111111111 0.641025641025641 11 100 1 0.56 0.717949 "ws" "3wise" 5
"88" "ffsm_5_kiss.txt" "fsm_ws_4.txt" 11 5 100 40 -1 -1 -1 -1 0.6875 0.714285714285714 11 100 1 0.4 0.571429 "ws" "3wise" 6
"89" "ffsm_6_kiss.txt" "fsm_ws_6.txt" 11 11 100 88 -1 -1 -1 -1 0.5 0.531914893617021 11 100 1 0.88 0.93617 "ws" "3wise" 7
"90" "fsm_ws_3.txt" "fsm_ws_8.txt" 8 11 64 88 8 8 7 0.777777777777778 0.578947368421053 0.598684210526316 11 91 0.772152 0.953125 0.853147 "ws" "4wise" 1
"91" "ffsm_1_kiss.txt" "fsm_ws_2.txt" 11 8 91 64 -1 -1 -1 -1 0.578947368421053 0.6 11 93 0.96875 0.681319 0.8 "ws" "4wise" 2
"92" "ffsm_2_kiss.txt" "fsm_ws_7.txt" 11 7 93 56 -1 -1 -1 -1 0.611111111111111 0.671140939597315 11 100 0.875 0.526882 0.657718 "ws" "4wise" 3
"93" "ffsm_3_kiss.txt" "fsm_ws_1.txt" 11 5 100 40 -1 -1 -1 -1 0.6875 0.714285714285714 11 100 1 0.4 0.571429 "ws" "4wise" 4
"94" "ffsm_4_kiss.txt" "fsm_ws_6.txt" 11 11 100 88 -1 -1 -1 -1 0.5 0.531914893617021 11 100 1 0.88 0.93617 "ws" "4wise" 5
"95" "ffsm_5_kiss.txt" "fsm_ws_4.txt" 11 5 100 40 -1 -1 -1 -1 0.6875 0.714285714285714 11 100 1 0.4 0.571429 "ws" "4wise" 6
"96" "ffsm_6_kiss.txt" "fsm_ws_5.txt" 11 7 100 56 -1 -1 -1 -1 0.611111111111111 0.641025641025641 11 100 1 0.56 0.717949 "ws" "4wise" 7
"97" "fsm_ws_3.txt" "fsm_ws_2.txt" 8 8 64 64 8 8 6 0.6 0.5 0.515625 8 66 0.96875 0.96875 0.96875 "ws" "all" 1
"98" "ffsm_1_kiss.txt" "fsm_ws_7.txt" 8 7 66 56 -1 -1 -1 -1 0.666666666666667 0.729508196721312 10 89 0.611111 0.5 0.55 "ws" "all" 2
